r,time,sound,Time (s),heat flux
,0.286133,-0.79087,0.293,-1.711566142
,0.286621,4.047516,0.2935,-1.711566142
,0.287109,2.599751,0.294,-1.711566142
,0.287598,-1.668531,0.2945,-1.711566142
,0.288086,1.489547,0.295,-1.711566142
,0.288574,6.234166,0.2955,-1.711566142
,0.289062,7.190592,0.296,-1.711566142
,0.289551,5.896605,0.2965,-1.711566142
,0.290039,3.589932,0.297,-1.711566142
,0.290527,2.427219,0.2975,-1.711566142
,0.291016,1.875868,0.298,-1.711566142
,0.291504,0.454358,0.2985,-1.711566142
,0.291992,0.323084,0.299,-1.711566142
,0.29248,0.480613,0.2995,-1.711566142
,0.292969,3.289877,0.3,-1.711566142
,0.293457,6.327934,0.3005,-1.711566142
,0.293945,6.114144,0.301,-1.711566142
,0.294434,6.136649,0.3015,-1.711566142
,0.294922,7.393129,0.302,-1.711566142
,0.29541,9.03593,0.3025,-1.711566142
,0.295898,6.136649,0.303,-1.711566142
,0.296387,1.208246,0.3035,-1.711566142
,0.296875,1.358273,0.304,-1.711566142
,0.297363,3.106093,0.3045,-1.711566142
,0.297852,4.313815,0.305,-1.711566142
,0.29834,3.859982,0.3055,-1.711566142
,0.298828,4.94393,0.306,-1.711566142
,0.299316,8.480828,0.3065,-1.711566142
,0.299805,7.805704,0.307,-1.711566142
,0.300293,4.595116,0.3075,-1.711566142
,0.300781,2.54349,0.308,-1.711566142
,0.30127,-1.698537,0.3085,-1.711566142
,0.301758,-4.699086,0.309,-1.711566142
,0.302246,-2.767482,0.3095,-1.711566142
,0.302734,-3.885187,0.31,-1.711566142
,0.303223,-0.697103,0.3105,-1.711566142
,0.303711,2.355956,0.311,-1.711566142
,0.304199,-0.322034,0.3115,-1.711566142
,0.304687,2.059652,0.312,-1.711566142
,0.305176,-0.873385,0.3125,-1.711566142
,0.305664,-2.411167,0.313,-1.711566142
,0.306152,0.941947,0.3135,-1.711566142
,0.306641,-3.412601,0.314,-1.711566142
,0.307129,-3.360091,0.3145,-1.711566142
,0.307617,2.888554,0.315,-1.711566142
,0.308105,1.572062,0.3155,-1.711566142
,0.308594,-1.852315,0.316,-1.711566142
,0.309082,-1.304714,0.3165,-1.711566142
,0.30957,-2.381162,0.317,-1.711566142
,0.310059,-0.820876,0.3175,-1.711566142
,0.310547,-0.385796,0.318,-1.711566142
,0.311035,-3.405099,0.3185,-1.711566142
,0.311523,0.364341,0.319,-1.711566142
,0.312012,1.39578,0.3195,-1.711566142
,0.3125,-2.669965,0.32,-1.711566142
,0.312988,-0.850881,0.3205,-1.711566142
,0.313477,1.425786,0.321,-1.711566142
,0.313965,1.980887,0.3215,-1.711566142
,0.314453,4.767648,0.322,-1.711566142
,0.314941,3.52617,0.3225,-1.711566142
,0.31543,-0.018229,0.323,-1.711566142
,0.315918,1.380777,0.3235,-1.711566142
,0.316406,0.953199,0.324,-1.711566142
,0.316895,1.639575,0.3245,-1.711566142
,0.317383,4.025012,0.325,-1.711566142
,0.317871,2.809789,0.3255,-1.711566142
,0.318359,1.890871,0.326,-1.711566142
,0.318848,0.259322,0.3265,-1.711566142
,0.319336,-1.270958,0.327,-1.711566142
,0.319824,-4.470294,0.3275,-1.711566142
,0.320312,-0.914643,0.328,-1.711566142
,0.320801,5.427769,0.3285,-1.711566142
,0.321289,1.898372,0.329,-1.711566142
,0.321777,4.696385,0.3295,-1.711566142
,0.322266,8.222031,0.33,-1.711566142
,0.322754,3.976253,0.3305,-1.711566142
,0.323242,0.30058,0.331,-1.711566142
,0.32373,-6.698202,0.3315,-1.711566142
,0.324219,-6.150602,0.332,-1.711566142
,0.324707,3.379894,0.3325,-1.711566142
,0.325195,8.026995,0.333,-1.711566142
,0.325684,9.621037,0.3335,-1.711566142
,0.326172,7.696934,0.334,-1.711566142
,0.32666,0.938196,0.3345,-1.711566142
,0.327148,1.163238,0.335,-1.711566142
,0.327637,2.986071,0.3355,-1.711566142
,0.328125,0.870684,0.336,-1.711566142
,0.328613,7.520652,0.3365,-1.711566142
,0.329102,10.011108,0.337,-1.711566142
,0.32959,7.94823,0.3375,-1.711566142
,0.330078,5.090207,0.338,-1.711566142
,0.330566,1.050717,0.3385,-1.711566142
,0.331055,6.969301,0.339,-1.711566142
,0.331543,8.267039,0.3395,-1.711566142
,0.332031,8.248285,0.34,-1.711566142
,0.33252,13.161685,0.3405,-1.711566142
,0.333008,13.409231,0.341,-1.711566142
,0.333496,11.98397,0.3415,-1.711566142
,0.333984,9.305979,0.342,-1.711566142
,0.334473,4.50885,0.3425,-1.711566142
,0.334961,1.215747,0.343,-1.711566142
,0.335449,5.120212,0.3435,-1.711566142
,0.335937,10.363673,0.344,-1.711566142
,0.336426,11.237583,0.3445,-1.711566142
,0.336914,12.09649,0.345,-1.711566142
,0.337402,9.91359,0.3455,-1.711566142
,0.337891,7.888219,0.346,-1.711566142
,0.338379,7.051816,0.3465,-1.711566142
,0.338867,3.233617,0.347,-1.711566142
,0.339355,5.225232,0.3475,-1.711566142
,0.339844,9.332234,0.348,-1.711566142
,0.340332,9.437253,0.3485,-1.711566142
,0.34082,7.310614,0.349,-1.711566142
,0.341309,4.302563,0.3495,-1.711566142
,0.341797,4.137532,0.35,-1.716730047
,0.342285,1.66583,0.3505,-1.716730047
,0.342773,-2.051101,0.351,-1.716730047
,0.343262,-0.487065,0.3515,-1.716730047
,0.34375,3.63494,0.352,-1.716730047
,0.344238,3.589932,0.3525,-1.716730047
,0.344727,0.206812,0.353,-1.716730047
,0.345215,0.060536,0.3535,-1.716730047
,0.345703,0.664396,0.354,-1.716730047
,0.346191,-1.642276,0.3545,-1.716730047
,0.34668,-1.841063,0.355,-1.716730047
,0.347168,0.293078,0.3555,-1.716730047
,0.347656,-1.042166,0.356,-1.716730047
,0.348145,-4.39153,0.3565,-1.716730047
,0.348633,-5.10416,0.357,-1.716730047
,0.349121,-2.433671,0.3575,-1.716730047
,0.349609,-1.601019,0.358,-1.716730047
,0.350098,-4.331519,0.3585,-1.716730047
,0.350586,-3.423853,0.359,-1.716730047
,0.351074,-1.908575,0.3595,-1.716730047
,0.351562,-1.559761,0.36,-1.716730047
,0.352051,-0.607087,0.3605,-1.716730047
,0.352539,-2.895006,0.361,-1.716730047
,0.353027,-0.412051,0.3615,-1.716730047
,0.353516,-0.565829,0.362,-1.716730047
,0.354004,-1.00841,0.3625,-1.716730047
,0.354492,5.6003,0.363,-1.716730047
,0.35498,5.570295,0.3635,-1.716730047
,0.355469,6.988054,0.364,-1.716730047
,0.355957,9.305979,0.3645,-1.716730047
,0.356445,5.120212,0.365,-1.716730047
,0.356934,0.990706,0.3655,-1.716730047
,0.357422,0.46561,0.366,-1.716730047
,0.35791,-1.93483,0.3665,-1.716730047
,0.358398,0.544374,0.367,-1.716730047
,0.358887,8.960916,0.3675,-1.716730047
,0.359375,10.247401,0.368,-1.716730047
,0.359863,9.823574,0.3685,-1.716730047
,0.360352,7.873217,0.369,-1.716730047
,0.36084,6.785517,0.3695,-1.716730047
,0.361328,5.412766,0.37,-1.716730047
,0.361816,5.086456,0.3705,-1.716730047
,0.362305,4.445089,0.371,-1.716730047
,0.362793,0.375593,0.3715,-1.716730047
,0.363281,6.586731,0.372,-1.716730047
,0.36377,9.354738,0.3725,-1.716730047
,0.364258,6.567978,0.373,-1.716730047
,0.364746,8.225781,0.3735,-1.716730047
,0.365234,5.018944,0.374,-1.716730047
,0.365723,4.07002,0.3745,-1.716730047
,0.366211,5.165221,0.375,-1.716730047
,0.366699,1.219498,0.3755,-1.716730047
,0.367187,-0.539574,0.376,-1.716730047
,0.367676,1.834611,0.3765,-1.716730047
,0.368164,2.427219,0.377,-1.716730047
,0.368652,-0.753363,0.3775,-1.716730047
,0.369141,-3.322584,0.378,-1.716730047
,0.369629,-1.874819,0.3785,-1.716730047
,0.370117,4.808905,0.379,-1.716730047
,0.370605,3.136099,0.3795,-1.716730047
,0.371094,-1.616021,0.38,-1.716730047
,0.371582,3.661195,0.3805,-1.716730047
,0.37207,3.286126,0.381,-1.716730047
,0.372559,1.497049,0.3815,-1.716730047
,0.373047,-1.7698,0.382,-1.716730047
,0.373535,-3.780168,0.3825,-1.716730047
,0.374023,2.603501,0.383,-1.716730047
,0.374512,5.296495,0.3835,-1.716730047
,0.375,7.224348,0.384,-1.716730047
,0.375488,7.584414,0.3845,-1.716730047
,0.375977,4.628872,0.385,-1.716730047
,0.376465,2.280942,0.3855,-1.716730047
,0.376953,1.800854,0.386,-1.716730047
,0.377441,0.46561,0.3865,-1.716730047
,0.37793,0.593133,0.387,-1.716730047
,0.378418,3.218614,0.3875,-1.716730047
,0.378906,3.90499,0.388,-1.716730047
,0.379395,4.985188,0.3885,-1.716730047
,0.379883,3.762464,0.389,-1.716730047
,0.380371,2.689767,0.3895,-1.716730047
,0.380859,1.688334,0.39,-1.716730047
,0.381348,0.446856,0.3905,-1.716730047
,0.381836,2.494731,0.391,-1.716730047
,0.382324,6.140399,0.3915,-1.716730047
,0.382812,8.229532,0.392,-1.716730047
,0.383301,2.809789,0.3925,-1.716730047
,0.383789,-0.835879,0.393,-1.716730047
,0.384277,2.832293,0.3935,-1.716730047
,0.384766,2.232183,0.394,-1.716730047
,0.385254,0.9607,0.3945,-1.716730047
,0.385742,2.746027,0.395,-1.716730047
,0.38623,1.707087,0.3955,-1.716730047
,0.386719,2.442222,0.396,-1.716730047
,0.387207,3.672447,0.3965,-1.716730047
,0.387695,1.264506,0.397,-1.716730047
,0.388184,-0.809624,0.3975,-1.716730047
,0.388672,-2.024846,0.398,-1.716730047
,0.38916,-1.676032,0.3985,-1.716730047
,0.389648,-0.659596,0.399,-1.716730047
,0.390137,-1.582265,0.3995,-1.716730047
,0.390625,-1.919827,0.4,-1.716730047
,0.391113,-0.592084,0.4005,-1.716730047
,0.391602,-2.636208,0.401,-1.716730047
,0.39209,-5.021645,0.4015,-1.716730047
,0.392578,-0.532073,0.402,-1.716730047
,0.393066,4.186291,0.4025,-1.716730047
,0.393555,3.274874,0.403,-1.716730047
,0.394043,0.371843,0.4035,-1.716730047
,0.394531,-3.543875,0.404,-1.716730047
,0.39502,-6.548175,0.4045,-1.716730047
,0.395508,-4.155237,0.405,-1.716730047
,0.395996,-1.82606,0.4055,-1.716730047
,0.396484,-2.174874,0.406,-1.716730047
,0.396973,-2.654962,0.4065,-1.716730047
,0.397461,0.199311,0.407,-1.716730047
,0.397949,3.623688,0.4075,-1.716730047
,0.398437,0.116796,0.408,-1.716730047
,0.398926,1.538306,0.4085,-1.716730047
,0.399414,5.041448,0.409,-1.716730047
,0.399902,4.553859,0.4095,-1.716730047
,0.400391,5.146467,0.41,-1.716730047
,0.400879,1.155736,0.4105,-1.716730047
,0.401367,-2.437422,0.411,-1.716730047
,0.401855,-1.931079,0.4115,-1.716730047
,0.402344,-2.962518,0.412,-1.716730047
,0.402832,-2.234885,0.4125,-1.716730047
,0.40332,3.409899,0.413,-1.716730047
,0.403809,5.450273,0.4135,-1.716730047
,0.404297,6.564227,0.414,-1.716730047
,0.404785,5.990372,0.4145,-1.716730047
,0.405273,-1.859816,0.415,-1.716730047
,0.405762,-2.287394,0.4155,-1.716730047
,0.40625,2.881052,0.416,-1.716730047
,0.406738,3.672447,0.4165,-1.716730047
,0.407227,3.481162,0.417,-1.716730047
,0.407715,3.537422,0.4175,-1.716730047
,0.408203,2.194676,0.418,-1.716730047
,0.408691,-4.301513,0.4185,-1.716730047
,0.40918,-4.151486,0.419,-1.716730047
,0.409668,2.314698,0.4195,-1.716730047
,0.410156,1.28701,0.42,-1.716730047
,0.410645,2.427219,0.4205,-1.716730047
,0.411133,2.558493,0.421,-1.716730047
,0.411621,-0.29953,0.4215,-1.716730047
,0.412109,1.17449,0.422,-1.716730047
,0.412598,-1.503501,0.4225,-1.716730047
,0.413086,-3.746412,0.423,-1.716730047
,0.413574,0.694402,0.4235,-1.716730047
,0.414062,0.371843,0.424,-1.716730047
,0.414551,-2.628707,0.4245,-1.716730047
,0.415039,-0.712106,0.425,-1.716730047
,0.415527,0.503117,0.4255,-1.716730047
,0.416016,-0.348289,0.426,-1.716730047
,0.416504,-1.642276,0.4265,-1.716730047
,0.416992,-1.503501,0.427,-1.716730047
,0.41748,-2.302397,0.4275,-1.716730047
,0.417969,-0.348289,0.428,-1.716730047
,0.418457,4.088773,0.4285,-1.716730047
,0.418945,2.389712,0.429,-1.716730047
,0.419434,0.495615,0.4295,-1.716730047
,0.419922,0.559377,0.43,-1.716730047
,0.42041,-0.314533,0.4305,-1.716730047
,0.420898,-1.068421,0.431,-1.716730047
,0.421387,0.694402,0.4315,-1.716730047
,0.421875,4.043765,0.432,-1.716730047
,0.422363,6.492964,0.4325,-1.716730047
,0.422852,4.610119,0.433,-1.716730047
,0.42334,0.094292,0.4335,-1.716730047
,0.423828,-0.40455,0.434,-1.716730047
,0.424316,1.073221,0.4345,-1.716730047
,0.424805,3.841228,0.435,-1.716730047
,0.425293,5.592799,0.4355,-1.716730047
,0.425781,2.644759,0.436,-1.716730047
,0.42627,-1.957334,0.4365,-1.716730047
,0.426758,1.482046,0.437,-1.716730047
,0.427246,3.4174,0.4375,-1.716730047
,0.427734,-0.51707,0.438,-1.716730047
,0.428223,1.639575,0.4385,-1.716730047
,0.428711,0.488114,0.439,-1.716730047
,0.429199,2.247186,0.4395,-1.716730047
,0.429687,1.410783,0.44,-1.716730047
,0.430176,-3.24382,0.4405,-1.716730047
,0.430664,0.206812,0.441,-1.716730047
,0.431152,-1.244703,0.4415,-1.716730047
,0.431641,0.285577,0.442,-1.716730047
,0.432129,1.482046,0.4425,-1.716730047
,0.432617,-2.403666,0.443,-1.716730047
,0.433105,-1.420986,0.4435,-1.716730047
,0.433594,2.055901,0.444,-1.716730047
,0.434082,8.43582,0.4445,-1.716730047
,0.43457,11.188824,0.445,-1.716730047
,0.435059,5.65281,0.4455,-1.716730047
,0.435547,4.257554,0.446,-1.716730047
,0.436035,9.170954,0.4465,-1.716730047
,0.436523,8.60085,0.447,-1.716730047
,0.437012,7.355622,0.4475,-1.716730047
,0.4375,7.355622,0.448,-1.716730047
,0.437988,5.198977,0.4485,-1.716730047
,0.438477,4.988938,0.449,-1.716730047
,0.438965,6.481712,0.4495,-1.716730047
,0.439453,6.485462,0.45,-1.716730047
,0.439941,6.324183,0.4505,-1.716730047
,0.44043,7.918225,0.451,-1.716730047
,0.440918,7.280608,0.4515,-1.716730047
,0.441406,3.4174,0.452,-1.716730047
,0.441895,2.15717,0.4525,-1.716730047
,0.442383,9.546023,0.453,-1.716730047
,0.442871,10.67498,0.4535,-1.716730047
,0.443359,4.898922,0.454,-1.716730047
,0.443848,4.595116,0.4545,-1.716730047
,0.444336,1.392029,0.455,-1.716730047
,0.444824,4.148784,0.4555,-1.716730047
,0.445312,7.261855,0.456,-1.716730047
,0.445801,0.949448,0.4565,-1.716730047
,0.446289,3.402398,0.457,-1.716730047
,0.446777,8.057,0.4575,-1.716730047
,0.447266,7.036813,0.458,-1.716730047
,0.447754,4.441338,0.4585,-1.716730047
,0.448242,0.611887,0.459,-1.716730047
,0.44873,4.032513,0.4595,-1.716730047
,0.449219,7.355622,0.46,-1.716730047
,0.449707,3.601184,0.4605,-1.716730047
,0.450195,3.661195,0.461,-1.716730047
,0.450684,3.96125,0.4615,-1.716730047
,0.451172,4.527604,0.462,-1.716730047
,0.45166,6.519219,0.4625,-1.716730047
,0.452148,2.562244,0.463,-1.716730047
,0.452637,2.228433,0.4635,-1.716730047
,0.453125,3.19611,0.464,-1.716730047
,0.453613,1.343271,0.4645,-1.716730047
,0.454102,2.734775,0.465,-1.716730047
,0.45459,4.490097,0.4655,-1.716730047
,0.455078,4.647626,0.466,-1.716730047
,0.455566,3.331135,0.4665,-1.716730047
,0.456055,5.517785,0.467,-1.716730047
,0.456543,7.873217,0.4675,-1.716730047
,0.457031,4.636374,0.468,-1.716730047
,0.45752,2.565995,0.4685,-1.716730047
,0.458008,2.911058,0.469,-1.716730047
,0.458496,3.443655,0.4695,-1.716730047
,0.458984,4.72639,0.47,-1.716730047
,0.459473,5.607802,0.4705,-1.716730047
,0.459961,5.675314,0.471,-1.716730047
,0.460449,4.463842,0.4715,-1.716730047
,0.460937,5.112711,0.472,-1.716730047
,0.461426,6.387945,0.4725,-1.716730047
,0.461914,5.397763,0.473,-1.716730047
,0.462402,5.521536,0.4735,-1.716730047
,0.462891,2.254687,0.474,-1.716730047
,0.463379,-0.959651,0.4745,-1.716730047
,0.463867,4.61387,0.475,-1.716730047
,0.464355,7.156835,0.4755,-1.716730047
,0.464844,3.271124,0.476,-1.716730047
,0.465332,3.623688,0.4765,-1.716730047
,0.46582,3.398647,0.477,-1.716730047
,0.466309,0.506867,0.4775,-1.716730047
,0.466797,3.106093,0.478,-1.716730047
,0.467285,6.147901,0.4785,-1.716730047
,0.467773,4.733892,0.479,-1.716730047
,0.468262,4.137532,0.4795,-1.716730047
,0.46875,2.093408,0.48,-1.716730047
,0.469238,-0.989657,0.4805,-1.716730047
,0.469727,-1.574764,0.481,-1.716730047
,0.470215,-0.235769,0.4815,-1.716730047
,0.470703,5.712821,0.482,-1.716730047
,0.471191,9.155952,0.4825,-1.716730047
,0.47168,5.195226,0.483,-1.716730047
,0.472168,4.01376,0.4835,-1.716730047
,0.472656,7.258104,0.484,-1.716730047
,0.473145,4.917675,0.4845,-1.716730047
,0.473633,0.210563,0.485,-1.716730047
,0.474121,-1.44349,0.4855,-1.716730047
,0.474609,-0.914643,0.486,-1.716730047
,0.475098,3.421151,0.4865,-1.716730047
,0.475586,5.063952,0.487,-1.716730047
,0.476074,2.592249,0.4875,-1.716730047
,0.476562,-0.126999,0.488,-1.716730047
,0.477051,2.584748,0.4885,-1.716730047
,0.477539,6.466709,0.489,-1.716730047
,0.478027,5.266489,0.4895,-1.716730047
,0.478516,2.524737,0.49,-1.716730047
,0.479004,1.099476,0.4905,-1.716730047
,0.479492,8.323299,0.491,-1.716730047
,0.47998,9.917341,0.4915,-1.716730047
,0.480469,3.076088,0.492,-1.716730047
,0.480957,1.538306,0.4925,-1.716730047
,0.481445,-0.929646,0.493,-1.716730047
,0.481934,1.06572,0.4935,-1.716730047
,0.482422,6.969301,0.494,-1.716730047
,0.48291,5.424018,0.4945,-1.716730047
,0.483398,5.637807,0.495,-1.716730047
,0.483887,6.774265,0.4955,-1.716730047
,0.484375,5.172722,0.496,-1.716730047
,0.484863,9.335985,0.4965,-1.716730047
,0.485352,9.624787,0.497,-1.716730047
,0.48584,5.671563,0.4975,-1.716730047
,0.486328,5.6003,0.498,-1.716730047
,0.486816,7.483145,0.4985,-1.716730047
,0.487305,9.384743,0.499,-1.716730047
,0.487793,6.219164,0.4995,-1.716730047
,0.488281,3.792469,0.5,-1.716730047
,0.48877,5.885353,0.5005,-1.716730047
,0.489258,11.488879,0.501,-1.716730047
,0.489746,17.973817,0.5015,-1.716730047
,0.490234,16.672328,0.502,-1.716730047
,0.490723,12.527819,0.5025,-1.716730047
,0.491211,11.05755,0.503,-1.716730047
,0.491699,10.2399,0.5035,-1.716730047
,0.492187,8.387061,0.504,-1.716730047
,0.492676,6.755512,0.5045,-1.716730047
,0.493164,7.801954,0.505,-1.716730047
,0.493652,7.483145,0.5055,-1.716730047
,0.494141,4.88767,0.506,-1.716730047
,0.494629,4.977686,0.5065,-1.716730047
,0.495117,5.266489,0.507,-1.716730047
,0.495605,2.671014,0.5075,-1.716730047
,0.496094,2.836044,0.508,-1.716730047
,0.496582,4.718889,0.5085,-1.716730047
,0.49707,5.70907,0.509,-1.716730047
,0.497559,4.913925,0.5095,-1.716730047
,0.498047,0.896939,0.51,-1.716730047
,0.498535,-0.160755,0.5105,-1.716730047
,0.499023,-0.595835,0.511,-1.716730047
,0.499512,-1.82606,0.5115,-1.716730047
,0.5,0.634391,0.512,-1.716730047
,0.500488,3.721206,0.5125,-1.716730047
,0.500977,4.56136,0.513,-1.716730047
,0.501465,0.270574,0.5135,-1.716730047
,0.501953,-0.944649,0.514,-1.716730047
,0.502441,1.812106,0.5145,-1.716730047
,0.50293,1.624572,0.515,-1.716730047
,0.503418,4.580113,0.5155,-1.716730047
,0.503906,5.191475,0.516,-1.716730047
,0.504395,1.407032,0.5165,-1.716730047
,0.504883,1.853364,0.517,-1.716730047
,0.505371,1.699586,0.5175,-1.716730047
,0.505859,-0.475813,0.518,-1.716730047
,0.506348,2.933562,0.5185,-1.716730047
,0.506836,4.340069,0.519,-1.716730047
,0.507324,2.899806,0.5195,-1.716730047
,0.507812,6.740509,0.52,-1.716730047
,0.508301,8.16202,0.5205,-1.716730047
,0.508789,3.649943,0.521,-1.716730047
,0.509277,0.30058,0.5215,-1.716730047
,0.509766,3.589932,0.522,-1.716730047
,0.510254,3.934995,0.5225,-1.716730047
,0.510742,2.089657,0.523,-1.716730047
,0.51123,4.782651,0.5235,-1.716730047
,0.511719,4.085023,0.524,-1.716730047
,0.512207,7.156835,0.5245,-1.716730047
,0.512695,8.034496,0.525,-1.716730047
,0.513184,3.912491,0.5255,-1.716730047
,0.513672,6.039131,0.526,-1.716730047
,0.51416,3.424902,0.5265,-1.716730047
,0.514648,1.407032,0.527,-1.716730047
,0.515137,4.332568,0.5275,-1.716730047
,0.515625,3.184858,0.528,-1.716730047
,0.516113,4.565111,0.5285,-1.716730047
,0.516602,5.727824,0.529,-1.716730047
,0.51709,3.233617,0.5295,-1.716730047
,0.517578,2.333452,0.53,-1.716730047
,0.518066,4.808905,0.5305,-1.716730047
,0.518555,4.816407,0.531,-1.716730047
,0.519043,-0.877136,0.5315,-1.716730047
,0.519531,2.26594,0.532,-1.716730047
,0.52002,6.85303,0.5325,-1.716730047
,0.520508,4.793903,0.533,-1.716730047
,0.520996,3.57868,0.5335,-1.716730047
,0.521484,2.344704,0.534,-1.716730047
,0.521973,5.472777,0.5345,-1.716730047
,0.522461,4.205045,0.535,-1.716730047
,0.522949,2.325951,0.5355,-1.716730047
,0.523437,9.084689,0.536,-1.716730047
,0.523926,11.965216,0.5365,-1.716730047
,0.524414,9.399746,0.537,-1.716730047
,0.524902,6.159153,0.5375,-1.716730047
,0.525391,3.931245,0.538,-1.716730047
,0.525879,4.981437,0.5385,-1.716730047
,0.526367,2.153419,0.539,-1.716730047
,0.526855,-0.640843,0.5395,-1.716730047
,0.527344,5.690317,0.54,-1.716730047
,0.527832,5.76158,0.5405,-1.716730047
,0.52832,5.3265,0.541,-1.716730047
,0.528809,9.699801,0.5415,-1.716730047
,0.529297,6.976802,0.542,-1.716730047
,0.529785,6.740509,0.5425,-1.716730047
,0.530273,7.003057,0.543,-1.716730047
,0.530762,3.109844,0.5435,-1.716730047
,0.53125,0.011777,0.544,-1.716730047
,0.531738,-0.532073,0.5445,-1.716730047
,0.532227,1.054468,0.545,-1.716730047
,0.532715,1.969635,0.5455,-1.716730047
,0.533203,4.475094,0.546,-1.716730047
,0.533691,3.968751,0.5465,-1.716730047
,0.53418,1.875868,0.547,-1.716730047
,0.534668,4.512601,0.5475,-1.716730047
,0.535156,3.488664,0.548,-1.716730047
,0.535645,1.748345,0.5485,-1.716730047
,0.536133,1.414534,0.549,-1.716730047
,0.536621,1.45204,0.5495,-1.716730047
,0.537109,5.619054,0.55,-1.716730047
,0.537598,2.16092,0.5505,-1.716730047
,0.538086,-1.255956,0.551,-1.716730047
,0.538574,-1.075923,0.5515,-1.716730047
,0.539062,-4.759097,0.552,-1.716730047
,0.539551,0.566878,0.5525,-1.716730047
,0.540039,5.881602,0.553,-1.716730047
,0.540527,2.839795,0.5535,-1.716730047
,0.541016,2.033397,0.554,-1.716730047
,0.541504,2.989822,0.5545,-1.716730047
,0.541992,2.070904,0.555,-1.716730047
,0.54248,-0.130749,0.5555,-1.716730047
,0.542969,-1.777301,0.556,-1.716730047
,0.543457,0.95695,0.5565,-1.716730047
,0.543945,4.685133,0.557,-1.716730047
,0.544434,4.730141,0.5575,-1.716730047
,0.544922,3.008576,0.558,-1.716730047
,0.54541,2.007142,0.5585,-1.716730047
,0.545898,3.072337,0.559,-1.716730047
,0.546387,5.76158,0.5595,-1.716730047
,0.546875,7.584414,0.56,-1.716730047
,0.547363,5.187725,0.5605,-1.716730047
,0.547852,3.027329,0.561,-1.716730047
,0.54834,-0.074489,0.5615,-1.716730047
,0.548828,1.245753,0.562,-1.716730047
,0.549316,3.886236,0.5625,-1.716730047
,0.549805,0.360591,0.563,-1.716730047
,0.550293,6.406698,0.5635,-1.716730047
,0.550781,9.594782,0.564,-1.716730047
,0.55127,5.712821,0.5645,-1.716730047
,0.551758,6.991805,0.565,-1.716730047
,0.552246,5.461525,0.5655,-1.716730047
,0.552734,4.936429,0.566,-1.716730047
,0.553223,4.12628,0.5665,-1.716730047
,0.553711,0.278075,0.567,-1.716730047
,0.554199,1.808356,0.5675,-1.716730047
,0.554687,6.012876,0.568,-1.716730047
,0.555176,7.535655,0.5685,-1.716730047
,0.555664,5.176473,0.569,-1.716730047
,0.556152,2.123413,0.5695,-1.716730047
,0.556641,4.171289,0.57,-1.716730047
,0.557129,7.858214,0.5705,-1.716730047
,0.557617,6.08789,0.571,-1.716730047
,0.558105,1.602068,0.5715,-1.716730047
,0.558594,2.153419,0.572,-1.716730047
,0.559082,6.339186,0.5725,-1.716730047
,0.55957,8.210778,0.573,-1.716730047
,0.560059,4.433837,0.5735,-1.716730047
,0.560547,-0.224517,0.574,-1.716730047
,0.561035,2.415967,0.5745,-1.716730047
,0.561523,3.919993,0.575,-1.716730047
,0.562012,-0.599585,0.5755,-1.716730047
,0.5625,-2.632458,0.576,-1.716730047
,0.562988,1.56081,0.5765,-1.716730047
,0.563477,5.476528,0.577,-1.716730047
,0.563965,0.375593,0.5775,-1.716730047
,0.564453,-1.124681,0.578,-1.716730047
,0.564941,3.683699,0.5785,-1.716730047
,0.56543,3.154852,0.579,-1.716730047
,0.565918,0.806922,0.5795,-1.716730047
,0.566406,-4.511552,0.58,-1.716730047
,0.566895,-6.315632,0.5805,-1.716730047
,0.567383,-0.56958,0.581,-1.716730047
,0.567871,-0.4083,0.5815,-1.716730047
,0.568359,-3.547625,0.582,-1.716730047
,0.568848,-0.070738,0.5825,-1.716730047
,0.569336,4.2313,0.583,-1.716730047
,0.569824,4.816407,0.5835,-1.716730047
,0.570312,2.614753,0.584,-1.716730047
,0.570801,-0.760865,0.5845,-1.716730047
,0.571289,1.005709,0.585,-1.716730047
,0.571777,1.902123,0.5855,-1.716730047
,0.572266,1.920876,0.586,-1.716730047
,0.572754,2.314698,0.5865,-1.716730047
,0.573242,-0.205763,0.587,-1.716730047
,0.57373,3.297378,0.5875,-1.716730047
,0.574219,4.992689,0.588,-1.716730047
,0.574707,0.761914,0.5885,-1.716730047
,0.575195,1.264506,0.589,-1.716730047
,0.575684,3.406148,0.5895,-1.716730047
,0.576172,1.313265,0.59,-1.716730047
,0.57666,-0.670848,0.5905,-1.716730047
,0.577148,0.19556,0.591,-1.716730047
,0.577637,1.298262,0.5915,-1.716730047
,0.578125,1.905874,0.592,-1.716730047
,0.578613,1.444539,0.5925,-1.716730047
,0.579102,0.255571,0.593,-1.716730047
,0.57959,-3.165055,0.5935,-1.716730047
,0.580078,-3.195061,0.594,-1.716730047
,0.580566,-1.612271,0.5945,-1.716730047
,0.581055,-4.042716,0.595,-1.716730047
,0.581543,1.66958,0.5955,-1.716730047
,0.582031,7.318115,0.596,-1.716730047
,0.58252,4.910174,0.5965,-1.716730047
,0.583008,5.364007,0.597,-1.716730047
,0.583496,4.951431,0.5975,-1.716730047
,0.583984,1.624572,0.598,-1.716730047
,0.584473,-0.547076,0.5985,-1.716730047
,0.584961,-1.068421,0.599,-1.716730047
,0.585449,0.360591,0.5995,-1.716730047
,0.585937,3.027329,0.6,-1.716730047
